cluster_name,career_title,keyskill_name,weight_percentage
"Agriculture, Food & Natural Resources",Agricultural Engineer,Engineering Design,30
"Agriculture, Food & Natural Resources",Agricultural Engineer,Problem Solving,25
"Agriculture, Food & Natural Resources",Agricultural Engineer,Technical Skills,20
"Agriculture, Food & Natural Resources",Agricultural Engineer,Project Management,15
"Agriculture, Food & Natural Resources",Agricultural Engineer,Environmental Awareness,10
"Agriculture, Food & Natural Resources",Agronomist,Plant Science,35
"Agriculture, Food & Natural Resources",Agronomist,Data Analysis,20
"Agriculture, Food & Natural Resources",Agronomist,Research Skills,20
"Agriculture, Food & Natural Resources",Agronomist,Observation,15
"Agriculture, Food & Natural Resources",Agronomist,Communication,10
"Agriculture, Food & Natural Resources",Agricultural Scientist,Research Skills,30
"Agriculture, Food & Natural Resources",Agricultural Scientist,Experimentation,25
"Agriculture, Food & Natural Resources",Agricultural Scientist,Data Analysis,20
"Agriculture, Food & Natural Resources",Agricultural Scientist,Critical Thinking,15
"Agriculture, Food & Natural Resources",Agricultural Scientist,Scientific Writing,10
"Agriculture, Food & Natural Resources",Food Scientist,Chemistry,30
"Agriculture, Food & Natural Resources",Food Scientist,Laboratory Skills,25
"Agriculture, Food & Natural Resources",Food Scientist,Quality Control,20
"Agriculture, Food & Natural Resources",Food Scientist,Research,15
"Agriculture, Food & Natural Resources",Food Scientist,Attention to Detail,10
"Agriculture, Food & Natural Resources",Soil and Plant Scientist,Soil Analysis,30
"Agriculture, Food & Natural Resources",Soil and Plant Scientist,Botany,25
"Agriculture, Food & Natural Resources",Soil and Plant Scientist,Data Analysis,20
"Agriculture, Food & Natural Resources",Soil and Plant Scientist,Problem Solving,15
"Agriculture, Food & Natural Resources",Soil and Plant Scientist,Laboratory Skills,10
"Agriculture, Food & Natural Resources",Horticulturist,Plant Cultivation,35
"Agriculture, Food & Natural Resources",Horticulturist,Observation,20
"Agriculture, Food & Natural Resources",Horticulturist,Creativity,20
"Agriculture, Food & Natural Resources",Horticulturist,Research,15
"Agriculture, Food & Natural Resources",Horticulturist,Communication,10
"Agriculture, Food & Natural Resources",Animal Scientist,Animal Biology,30
"Agriculture, Food & Natural Resources",Animal Scientist,Research Skills,25
"Agriculture, Food & Natural Resources",Animal Scientist,Data Analysis,20
"Agriculture, Food & Natural Resources",Animal Scientist,Laboratory Skills,15
"Agriculture, Food & Natural Resources",Animal Scientist,Observation,10
"Agriculture, Food & Natural Resources",Veterinarian,Animal Care,30
"Agriculture, Food & Natural Resources",Veterinarian,Clinical Skills,25
"Agriculture, Food & Natural Resources",Veterinarian,Empathy,20
"Agriculture, Food & Natural Resources",Veterinarian,Problem Solving,15
"Agriculture, Food & Natural Resources",Veterinarian,Communication,10
"Agriculture, Food & Natural Resources",Dairy Technologist,Dairy Processing,30
"Agriculture, Food & Natural Resources",Dairy Technologist,Quality Control,25
"Agriculture, Food & Natural Resources",Dairy Technologist,Technical Skills,20
"Agriculture, Food & Natural Resources",Dairy Technologist,Problem Solving,15
"Agriculture, Food & Natural Resources",Dairy Technologist,Data Analysis,10
"Agriculture, Food & Natural Resources",Poultry Farm Manager,Farm Management,30
"Agriculture, Food & Natural Resources",Poultry Farm Manager,Animal Husbandry,25
"Agriculture, Food & Natural Resources",Poultry Farm Manager,Problem Solving,20
"Agriculture, Food & Natural Resources",Poultry Farm Manager,Team Management,15
"Agriculture, Food & Natural Resources",Poultry Farm Manager,Record Keeping,10
"Agriculture, Food & Natural Resources",Farm Manager,Operations Management,30
"Agriculture, Food & Natural Resources",Farm Manager,Decision Making,25
"Agriculture, Food & Natural Resources",Farm Manager,Resource Allocation,20
"Agriculture, Food & Natural Resources",Farm Manager,Leadership,15
"Agriculture, Food & Natural Resources",Farm Manager,Financial Skills,10
"Agriculture, Food & Natural Resources",Agricultural Equipment Operator,Equipment Handling,35
"Agriculture, Food & Natural Resources",Agricultural Equipment Operator,Technical Skills,25
"Agriculture, Food & Natural Resources",Agricultural Equipment Operator,Maintenance,20
"Agriculture, Food & Natural Resources",Agricultural Equipment Operator,Safety Awareness,10
"Agriculture, Food & Natural Resources",Agricultural Equipment Operator,Problem Solving,10
"Agriculture, Food & Natural Resources",Agricultural Inspector,Inspection,30
"Agriculture, Food & Natural Resources",Agricultural Inspector,Compliance,25
"Agriculture, Food & Natural Resources",Agricultural Inspector,Attention to Detail,20
"Agriculture, Food & Natural Resources",Agricultural Inspector,Report Writing,15
"Agriculture, Food & Natural Resources",Agricultural Inspector,Analytical Skills,10
"Agriculture, Food & Natural Resources",Fishery Scientist,Aquatic Biology,30
"Agriculture, Food & Natural Resources",Fishery Scientist,Research,25
"Agriculture, Food & Natural Resources",Fishery Scientist,Data Analysis,20
"Agriculture, Food & Natural Resources",Fishery Scientist,Observation,15
"Agriculture, Food & Natural Resources",Fishery Scientist,Fieldwork,10
"Agriculture, Food & Natural Resources",Forest Officer,Environmental Awareness,30
"Agriculture, Food & Natural Resources",Forest Officer,Law Enforcement,25
"Agriculture, Food & Natural Resources",Forest Officer,Leadership,20
"Agriculture, Food & Natural Resources",Forest Officer,Communication,15
"Agriculture, Food & Natural Resources",Forest Officer,Patrolling,10
"Agriculture, Food & Natural Resources",Plantation Manager,Plantation Management,30
"Agriculture, Food & Natural Resources",Plantation Manager,Resource Planning,25
"Agriculture, Food & Natural Resources",Plantation Manager,Leadership,20
"Agriculture, Food & Natural Resources",Plantation Manager,Problem Solving,15
"Agriculture, Food & Natural Resources",Plantation Manager,Operations Management,10
"Agriculture, Food & Natural Resources",Greenhouse Technician,Plant Care,35
